qid,query,modified_query
1,coronavirus origin,cornavirus origin
2,coronavirus response to weather changes,coronavru respoe to weathr changes
3,coronavirus immunity,coronavirus immnity
4,how do people die from the coronavirus,how do people die from the oronavirus
5,animal models of covid 19,animl mos o cvid 19
6,coronavirus test rapid testing,conavirus test rapi tting
7,serological tests for coronavirus,serologial tests for coronairus
8,coronavirus under reporting,coonavius under reporting
9,coronavirus in canada,coronavirus in canada
10,coronavirus social distancing impact,coronavirus socia distancing impact
11,coronavirus hospital rationing,coronavrus hospital ationing
12,coronavirus quarantine,coronavirus qrantine
13,how does coronavirus spread,how does coronavirs sprad
14,coronavirus super spreaders,coronaviru sup spraders
15,coronavirus outside body,cornavirus usid body
16,how long does coronavirus survive on surfaces,how long does coravirus surviv on surfaces
17,coronavirus clinical trials,coronavir clinical trials
18,masks prevent coronavirus,masks prevent ornairs
19,what alcohol sanitizer kills coronavirus,what alcohol santize klls coonvirus
20,coronavirus and ace inhibitors,coravirus and ace inhibitors
21,coronavirus mortality,coroavirus mortality
22,coronavirus heart impacts,cronairus heart impact
23,coronavirus hypertension,coronavirus hyprtension
24,coronavirus diabetes,coronavirus diaetes
25,coronavirus biomarkers,oronavirus biomrkers
26,coronavirus early symptoms,coronavirus early ymptms
27,coronavirus asymptomatic,coonairus asymptomtic
28,coronavirus hydroxychloroquine,coronavir hydroxychlorouine
29,coronavirus drug repurposing,coronavirus drug rerposing
30,coronavirus remdesivir,oronavirus remdesivi
31,difference between coronavirus and flu,iffeence etween coronavirus and lu
32,coronavirus subtypes,coronavirus subtypes
33,coronavirus vaccine candidates,oonavru vaccie ndidates
34,coronavirus recovery,coronavirs rcoer
35,coronavirus public datasets,coronavirus pblic datasets
36,sars cov 2 spike structure,srs cov 2 spike strucure
37,sars cov 2 phylogenetic analysis,sars cov 2 phylogenetic anaysis
38,covid inflammatory response,cvid inflammatory response
39,covid 19 cytokine storm,cvid 19 cytokine storm
40,coronavirus mutations,coronvirus mutatins
41,covid 19 in african americans,covid 19 in afric amerians
42,vitamin d and covid 19,vitami d d covid 19
43,violence during pandemic,voence durin pandemc
44,impact of masks on coronavirus transmission,mpact o mass on coroirus ransmssion
45,coronavirus mental health impact,coravrus mental health impact
46,dexamethasone coronavirus,dexamethasone coronavirus
47,covid 19 outcomes in children,covid 19 outcomes in chilren
48,school reopening coronavirus,schol reopening coronavirus
49,post infection covid 19 immunity,pos infection covi 19 immunit
50,mrna vaccine coronavirus,mrna vacci coronavirus
